"Name","Author","Price","User Rating"
"Between the World and Me","Ta-Nehisi Coates","13","4.7"
"Born to Run","Bruce Springsteen","18","4.7"
"Breaking Dawn (The Twilight Saga, Book 4)","Stephenie Meyer","13","4.6"
"Broke: The Plan to Restore Our Trust, Truth and Treasure","Glenn Beck","8","4.5"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","5","4.9"
"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr.","5","4.9"
"Cabin Fever (Diary of a Wimpy Kid, Book 6)","Jeff Kinney","0","4.8"
"Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series)","Sasha O'Hara","4","4.6"
"Can't Hurt Me: Master Your Mind and Defy the Odds","David Goggins","18","4.8"
"Capital in the Twenty First Century","Thomas Piketty","28","4.5"
"Catching Fire (The Hunger Games)","Suzanne Collins","11","4.7"
"Catching Fire (The Hunger Games)","Suzanne Collins","11","4.7"
"Catching Fire (The Hunger Games)","Suzanne Collins","11","4.7"
"Cravings: Recipes for All the Food You Want to Eat: A Cookbook","Chrissy Teigen","16","4.7"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","14","4.7"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","14","4.7"
"Crazy Love: Overwhelmed by a Relentless God","Francis Chan","14","4.7"
"Crazy Rich Asians (Crazy Rich Asians Trilogy)","Kevin Kwan","8","4.3"
"Creative Haven Creative Cats Coloring Book (Adult Coloring)","Marjorie Sarnat","4","4.8"
"Creative Haven Owls Coloring Book (Adult Coloring)","Marjorie Sarnat","5","4.8"
"Cutting for Stone","Abraham Verghese","11","4.6"
"Cutting for Stone","Abraham Verghese","11","4.6"
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead","Brene�? Brown","10","4.8"
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants","Malcolm Gladwell","13","4.4"
"Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood)","Charlaine Harris","4","4.6"
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)","Charlaine Harris","8","4.3"
"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)","Charlaine Harris","4","4.2"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","5","4.8"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","5","4.8"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","5","4.8"
"Dear Zoo: A Lift-the-Flap Book","Rod Campbell","5","4.8"
"Decision Points","George W. Bush","17","4.6"
"Delivering Happiness: A Path to Profits, Passion, and Purpose","Tony Hsieh","15","4.6"
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","American Psychiatric Association","105","4.5"
"Diagnostic and Statistical Manual of Mental Disorders, 5th Edition: DSM-5","American Psychiatric Association","105","4.5"
"Diary of a Wimpy Kid: Hard Luck, Book 8","Jeff Kinney","0","4.8"
"Diary of a Wimpy Kid: The Last Straw (Book 3)","Jeff Kinney","15","4.8"
"Diary of a Wimpy Kid: The Long Haul","Jeff Kinney","22","4.8"
"Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids)","M Prefontaine","5","4.6"
"Divergent","Veronica Roth","15","4.6"
"Divergent","Veronica Roth","15","4.6"
"Divergent / Insurgent","Veronica Roth","6","4.5"
"Divine Soul Mind Body Healing and Transmission System: The Divine Way to Heal You, Humanity, Mother Earth, and All…","Zhi Gang Sha","6","4.6"
"Doctor Sleep: A Novel","Stephen King","13","4.7"
"Dog Days (Diary of a Wimpy Kid, Book 4) (Volume 4)","Jeff Kinney","12","4.8"
"Dog Man and Cat Kid: From the Creator of Captain Underpants (Dog Man #4)","Dav Pilkey","6","4.9"
"Dog Man: A Tale of Two Kitties: From the Creator of Captain Underpants (Dog Man #3)","Dav Pilkey","8","4.9"
"Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)","Dav Pilkey","4","4.9"
"Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6)","Dav Pilkey","4","4.9"
"Dog Man: Fetch-22: From the Creator of Captain Underpants (Dog Man #8)","Dav Pilkey","8","4.9"
"Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7)","Dav Pilkey","8","4.9"
"Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5)","Dav Pilkey","6","4.9"
"Double Down (Diary of a Wimpy Kid #11)","Jeff Kinney","20","4.8"
"Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books)","Marty Noble","5","4.6"
"Drive: The Surprising Truth About What Motivates Us","Daniel H. Pink","16","4.5"
"Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution","David Zinczenko","1","4.5"
"Eat This, Not That! Thousands of Simple Food Swaps that Can Save You 10, 20, 30 Pounds--or More!","David Zinczenko","14","4.3"
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD","9","4.5"
"Eat to Live: The Amazing Nutrient-Rich Program for Fast and Sustained Weight Loss, Revised Edition","Joel Fuhrman MD","9","4.5"
"Eclipse (Twilight Sagas)","Stephenie Meyer","7","4.7"
"Eclipse (Twilight)","Stephenie Meyer","18","4.7"
"Educated: A Memoir","Tara Westover","15","4.7"
"Educated: A Memoir","Tara Westover","15","4.7"
"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints…","Johanna Basford","9","4.7"
"Fahrenheit 451","Ray Bradbury","8","4.6"
"Fahrenheit 451","Ray Bradbury","8","4.6"
"Fantastic Beasts and Where to Find Them: The Original Screenplay (Harry Potter)","J.K. Rowling","15","4.7"
"Fear: Trump in the White House","Bob Woodward","2","4.4"
"Fifty Shades Darker","E L James","7","4.4"
"Fifty Shades Freed: Book Three of the Fifty Shades Trilogy (Fifty Shades of Grey Series) (English Edition)","E L James","11","4.5"
"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)","E L James","14","3.8"
"Fifty Shades of Grey: Book One of the Fifty Shades Trilogy (Fifty Shades of Grey Series)","E L James","14","3.8"
"Fifty Shades Trilogy (Fifty Shades of Grey / Fifty Shades Darker / Fifty Shades Freed)","E L James","32","4.5"
"Fire and Fury: Inside the Trump White House","Michael Wolff","6","4.2"
"First 100 Words","Roger Priddy","4","4.7"
"First 100 Words","Roger Priddy","4","4.7"
"First 100 Words","Roger Priddy","4","4.7"
"First 100 Words","Roger Priddy","4","4.7"
"First 100 Words","Roger Priddy","4","4.7"
"Food Rules: An Eater's Manual","Michael Pollan","9","4.4"
"Frozen (Little Golden Book)","RH Disney","0","4.7"
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime","John Heilemann","9","4.4"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","5","4.6"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","5","4.6"
"Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows","George R.R. Martin","5","4.6"
"George Washington's Sacred Fire","Peter A. Lillback","20","4.5"
"George Washington's Secret Six: The Spy Ring That Saved the American Revolution","Brian Kilmeade","16","4.6"
"Giraffes Can't Dance","Giles Andreae","4","4.8"
"Giraffes Can't Dance","Giles Andreae","4","4.8"
"Giraffes Can't Dance","Giles Andreae","4","4.8"
"Giraffes Can't Dance","Giles Andreae","4","4.8"
"Giraffes Can't Dance","Giles Andreae","4","4.8"
"Girl, Stop Apologizing: A Shame-Free Plan for Embracing and Achieving Your Goals","Rachel Hollis","12","4.6"
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","Rachel Hollis","12","4.6"
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be","Rachel Hollis","12","4.6"
"Glenn Beck's Common Sense: The Case Against an Out-of-Control Government, Inspired by Thomas Paine","Glenn Beck","11","4.6"
"Go Set a Watchman: A Novel","Harper Lee","19","3.6"
"Go the F**k to Sleep","Adam Mansbach","9","4.8"
"Going Rogue: An American Life","Sarah Palin","6","4.6"
"Gone Girl","Gillian Flynn","10","4"
"Gone Girl","Gillian Flynn","10","4"
"Gone Girl","Gillian Flynn","9","4"
"Good Days Start With Gratitude: A 52 Week Guide To Cultivate An Attitude Of Gratitude: Gratitude Journal","Pretty Simple Press","6","4.6"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","14","4.5"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","14","4.5"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","14","4.5"
"Good to Great: Why Some Companies Make the Leap and Others Don't","Jim Collins","14","4.5"
"Goodnight Moon","Margaret Wise Brown","5","4.8"
"Goodnight Moon","Margaret Wise Brown","5","4.8"
"Goodnight Moon","Margaret Wise Brown","5","4.8"
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","Sherri Duskey Rinker","7","4.9"
"Goodnight, Goodnight Construction Site (Hardcover Books for Toddlers, Preschool Books for Kids)","Sherri Duskey Rinker","7","4.9"
"Grain Brain: The Surprising Truth about Wheat, Carbs, and Sugar--Your Brain's Silent Killers","David Perlmutter MD","10","4.6"
"Grey: Fifty Shades of Grey as Told by Christian (Fifty Shades of Grey Series)","E L James","14","4.4"
"Guts","Raina Telgemeier","7","4.8"
"Hamilton: The Revolution","Lin-Manuel Miranda","54","4.9"
"Happy, Happy, Happy: My Life and Legacy as the Duck Commander","Phil Robertson","11","4.8"
"Harry Potter and the Chamber of Secrets: The Illustrated Edition (Harry Potter, Book 2)","J.K. Rowling","30","4.9"
"Harry Potter and the Cursed Child, Parts 1 & 2, Special Rehearsal Edition Script","J.K. Rowling","12","4"
"Harry Potter and the Goblet of Fire: The Illustrated Edition (Harry Potter, Book 4) (4)","J. K. Rowling","18","4.9"
"Harry Potter and the Prisoner of Azkaban: The Illustrated Edition (Harry Potter, Book 3)","J.K. Rowling","30","4.9"
"Harry Potter and the Sorcerer's Stone: The Illustrated Edition (Harry Potter, Book 1)","J.K. Rowling","22","4.9"
"Harry Potter Coloring Book","Scholastic","9","4.7"
"Harry Potter Paperback Box Set (Books 1-7)","J. K. Rowling","52","4.8"
"Have a Little Faith: A True Story","Mitch Albom","4","4.8"
"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo","10","4.7"
"Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back","Todd Burpo","10","4.7"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","J. D. Vance","14","4.4"
"Hillbilly Elegy: A Memoir of a Family and Culture in Crisis","J. D. Vance","14","4.4"
"Homebody: A Guide to Creating Spaces You Never Want to Leave","Joanna Gaines","22","4.8"
"How to Win Friends & Influence People","Dale Carnegie","11","4.7"
"How to Win Friends & Influence People","Dale Carnegie","11","4.7"
"How to Win Friends & Influence People","Dale Carnegie","11","4.7"
"How to Win Friends & Influence People","Dale Carnegie","11","4.7"
"How to Win Friends & Influence People","Dale Carnegie","11","4.7"
"Howard Stern Comes Again","Howard Stern","16","4.3"
"Humans of New York","Brandon Stanton","15","4.8"
"Humans of New York","Brandon Stanton","15","4.8"
"Humans of New York : Stories","Brandon Stanton","17","4.9"
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened","Allie Brosh","17","4.7"
"I Am Confident, Brave & Beautiful: A Coloring Book for Girls","Hopscotch Girls","7","4.8"
"I, Alex Cross","James Patterson","7","4.6"
"If Animals Kissed Good Night","Ann Whitford Paul","4","4.8"
"If Animals Kissed Good Night","Ann Whitford Paul","4","4.8"
"If I Stay","Gayle Forman","9","4.3"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin","Eric Larson","21","4.4"
"Inferno","Dan Brown","14","4.1"
"Inheritance: Book IV (Inheritance Cycle)","Christopher Paolini","20","4.6"
"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…","Jennifer Smith","13","4.4"
"Instant Pot Pressure Cooker Cookbook: 500 Everyday Recipes for Beginners and Advanced Users. Try Easy and Healthy…","Jennifer Smith","13","4.4"
"It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered","Lysa TerKeurst","12","4.8"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","8","4.9"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","8","4.9"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","8","4.9"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","8","4.9"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","8","4.9"
"Jesus Calling: Enjoying Peace in His Presence (with Scripture References)","Sarah Young","8","4.9"
"JOURNEY TO THE ICE P","RH Disney","0","4.6"
"Joyland (Hard Case Crime)","Stephen King","12","4.5"
"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","David Grann","17","4.6"
"Killing Jesus (Bill O'Reilly's Killing Series)","Bill O'Reilly","12","4.5"
"Killing Kennedy: The End of Camelot","Bill O'Reilly","25","4.6"
"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly","10","4.7"
"Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series)","Bill O'Reilly","10","4.7"
"Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series)","Bill O'Reilly","6","4.6"
"Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series)","Bill O'Reilly","5","4.6"
"Killing the Rising Sun: How America Vanquished World War II Japan (Bill O'Reilly's Killing Series)","Bill O'Reilly","6","4.8"
"Kitchen Confidential Updated Edition: Adventures in the Culinary Underbelly (P.S.)","Anthony Bourdain","8","4.8"
"Knock-Knock Jokes for Kids","Rob Elliott","4","4.5"
"Knock-Knock Jokes for Kids","Rob Elliott","4","4.5"
"Knock-Knock Jokes for Kids","Rob Elliott","4","4.5"
"Last Week Tonight with John Oliver Presents A Day in the Life of Marlon Bundo (Better Bundo Book, LGBT Childrens Book)","Jill Twiss","13","4.9"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4","4.6"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4","4.6"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4","4.6"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4","4.6"
"Laugh-Out-Loud Jokes for Kids","Rob Elliott","4","4.6"
"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg","13","4.5"
"Leonardo da Vinci","Walter Isaacson","21","4.5"
"Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering","Paper Peony Press","6","4.4"
"Liberty and Tyranny: A Conservative Manifesto","Mark R. Levin","15","4.8"
"Life","Keith Richards","18","4.5"
"Little Bee: A Novel","Chris Cleave","10","4.1"
"Little Blue Truck","Alice Schertle","0","4.9"
"Little Fires Everywhere","Celeste Ng","12","4.5"
"Looking for Alaska","John Green","7","4.5"
"Love Wins: A Book About Heaven, Hell, and the Fate of Every Person Who Ever Lived","Rob Bell","13","4.2"
"Love You Forever","Robert Munsch","5","4.8"
"Love You Forever","Robert Munsch","5","4.8"
"Magnolia Table: A Collection of Recipes for Gathering","Joanna Gaines","16","4.8"
"Make It Ahead: A Barefoot Contessa Cookbook","Ina Garten","20","4.5"
"Make Your Bed: Little Things That Can Change Your Life...And Maybe the World","Admiral William H. McRaven","11","4.7"
"Mastering the Art of French Cooking, Vol. 2","Julia Child","27","4.8"
"Milk and Honey","Rupi Kaur","8","4.7"
"Milk and Honey","Rupi Kaur","8","4.7"
"Milk and Honey","Rupi Kaur","8","4.7"
"Milk and Vine: Inspirational Quotes From Classic Vines","Adam Gasiewski","6","4.4"
"Mindset: The New Psychology of Success","Carol S. Dweck","10","4.6"
"Mindset: The New Psychology of Success","Carol S. Dweck","10","4.6"
"Mindset: The New Psychology of Success","Carol S. Dweck","10","4.6"
"Mockingjay (The Hunger Games)","Suzanne Collins","8","4.5"
"Mockingjay (The Hunger Games)","Suzanne Collins","8","4.5"
"Mockingjay (The Hunger Games)","Suzanne Collins","8","4.5"
"National Geographic Kids Why?: Over 1,111 Answers to Everything","Crispin Boyer","16","4.8"
"National Geographic Little Kids First Big Book of Why (National Geographic Little Kids First Big Books)","Amy Shields","11","4.8"
"New Moon (The Twilight Saga)","Stephenie Meyer","10","4.6"
"Night (Night)","Elie Wiesel","9","4.7"
"No Easy Day: The Autobiography of a Navy Seal: The Firsthand Account of the Mission That Killed Osama Bin Laden","Mark Owen","14","4.6"
"Obama: An Intimate Portrait","Pete Souza","22","4.9"
"Oh, the Places You'll Go!","Dr. Seuss","8","4.9"
"Oh, the Places You'll Go!","Dr. Seuss","8","4.9"
"Oh, the Places You'll Go!","Dr. Seuss","8","4.9"
"Oh, the Places You'll Go!","Dr. Seuss","8","4.9"
"Oh, the Places You'll Go!","Dr. Seuss","8","4.9"
"Oh, the Places You'll Go!","Dr. Seuss","8","4.9"
"Oh, the Places You'll Go!","Dr. Seuss","8","4.9"
"Oh, the Places You'll Go!","Dr. Seuss","8","4.9"
"Old School (Diary of a Wimpy Kid #10)","Jeff Kinney","7","4.8"
"Olive Kitteridge","Elizabeth Strout","12","4.2"
"One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp","13","4.6"
"One Thousand Gifts: A Dare to Live Fully Right Where You Are","Ann Voskamp","13","4.6"
"Option B: Facing Adversity, Building Resilience, and Finding Joy","Sheryl Sandberg","9","4.5"
"Origin: A Novel (Robert Langdon)","Dan Brown","13","4.3"
"Orphan Train","Christina Baker Kline","11","4.6"
"Outliers: The Story of Success","Malcolm Gladwell","20","4.6"
"Outliers: The Story of Success","Malcolm Gladwell","20","4.6"
"P is for Potty! (Sesame Street) (Lift-the-Flap)","Naomi Kleinberg","5","4.7"
"P is for Potty! (Sesame Street) (Lift-the-Flap)","Naomi Kleinberg","5","4.7"
"Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3)","Rick Riordan","2","4.8"
"Player's Handbook (Dungeons & Dragons)","Wizards RPG Team","27","4.8"
"Player's Handbook (Dungeons & Dragons)","Wizards RPG Team","27","4.8"
"Player's Handbook (Dungeons & Dragons)","Wizards RPG Team","27","4.8"
"Pokémon Deluxe Essential Handbook: The Need-to-Know Stats and Facts on Over 700 Pokémon","Scholastic","9","4.7"
"Proof of Heaven: A Neurosurgeon's Journey into the Afterlife","Eben Alexander","10","4.3"
"Proof of Heaven: A Neurosurgeon's Journey into the Afterlife","Eben Alexander","10","4.3"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Publication Manual of the American Psychological Association, 6th Edition","American Psychological Association","46","4.5"
"Puppy Birthday to You! (Paw Patrol) (Little Golden Book)","Golden Books","4","4.8"
"Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain","20","4.6"
"Quiet: The Power of Introverts in a World That Can't Stop Talking","Susan Cain","7","4.6"
"Radical: Taking Back Your Faith from the American Dream","David Platt","9","4.7"
"Radical: Taking Back Your Faith from the American Dream","David Platt","9","4.7"
"Ready Player One: A Novel","Ernest Cline","12","4.6"
"Ready Player One: A Novel","Ernest Cline","12","4.6"
"Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans (1)","Rush Limbaugh","12","4.9"
"Rush Revere and the First Patriots: Time-Travel Adventures With Exceptional Americans (2)","Rush Limbaugh","12","4.9"
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","Samin Nosrat","20","4.8"
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking","Samin Nosrat","20","4.8"
"Sarah's Key","Tatiana de Rosnay","10","4.6"
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…","School Zone","6","4.8"
"School Zone - Big Preschool Workbook - Ages 4 and Up, Colors, Shapes, Numbers 1-10, Alphabet, Pre-Writing, Pre-Reading…","School Zone","6","4.8"
"Secret Garden: An Inky Treasure Hunt and Coloring Book (For Adults, mindfulness coloring)","Johanna Basford","9","4.7"
"Sh*t My Dad Says","Justin Halpern","11","4.7"
"Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution","Tucker Carlson","16","4.8"
"Shred: The Revolutionary Diet: 6 Weeks 4 Inches 2 Sizes","Ian K. Smith M.D.","6","4.1"
"Sookie Stackhouse","Charlaine Harris","25","4.7"
"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…","Zhi Gang Sha","17","4.6"
"Steve Jobs","Walter Isaacson","20","4.6"
"Steve Jobs","Walter Isaacson","20","4.6"
"Strange Planet (Strange Planet Series)","Nathan W. Pyle","6","4.9"
"StrengthsFinder 2.0","Gallup","17","4"
"StrengthsFinder 2.0","Gallup","17","4"
"StrengthsFinder 2.0","Gallup","17","4"
"StrengthsFinder 2.0","Gallup","17","4"
"StrengthsFinder 2.0","Gallup","17","4"
"StrengthsFinder 2.0","Gallup","17","4"
"StrengthsFinder 2.0","Gallup","17","4"
"StrengthsFinder 2.0","Gallup","17","4"
"StrengthsFinder 2.0","Gallup","17","4"
"Super Freakonomics: Global Cooling, Patriotic Prostitutes, and Why Suicide Bombers Should Buy Life Insurance","Steven D. Levitt","18","4.5"
"Switch: How to Change Things When Change Is Hard","Chip Heath","13","4.6"
"Sycamore Row (Jake Brigance)","John Grisham","18","4.5"
"Teach Like a Champion: 49 Techniques that Put Students on the Path to College","Doug Lemov","20","4.4"
"Teach Like a Champion: 49 Techniques that Put Students on the Path to College","Doug Lemov","20","4.4"
"The 17 Day Diet: A Doctor's Plan Designed for Rapid Results","Mike Moreno","22","4.3"
"The 4 Hour Body: An Uncommon Guide to Rapid Fat Loss, Incredible Sex and Becoming Superhuman","Timothy Ferriss","21","4.3"
"The 5 Love Languages: The Secret to Love That Lasts","Gary Chapman","28","4.7"
"The 5 Love Languages: The Secret to Love That Lasts","Gary Chapman","28","4.7"
"The 5 Love Languages: The Secret to Love That Lasts","Gary Chapman","28","4.7"
"The 5 Love Languages: The Secret to Love That Lasts","Gary Chapman","28","4.7"
"The 5 Love Languages: The Secret to Love That Lasts","Gary Chapman","28","4.7"
"The 5 Love Languages: The Secret to Love that Lasts","Gary Chapman","8","4.8"
"The 5 Love Languages: The Secret to Love that Lasts","Gary Chapman","8","4.8"
"The 5 Love Languages: The Secret to Love that Lasts","Gary Chapman","8","4.8"
"The 5 Love Languages: The Secret to Love that Lasts","Gary Chapman","8","4.8"
"The 5 Love Languages: The Secret to Love that Lasts","Gary Chapman","8","4.8"
"The 5000 Year Leap","W. Cleon Skousen","12","4.8"
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey","24","4.6"
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey","24","4.6"
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey","24","4.6"
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey","24","4.6"
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey","16","4.7"
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey","16","4.7"
"The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change","Stephen R. Covey","16","4.7"
"The Alchemist","Paulo Coelho","39","4.7"
"The Amateur","Edward Klein","9","4.6"
"The Art of Racing in the Rain: A Novel","Garth Stein","10","4.7"
"The Art of Racing in the Rain: A Novel","Garth Stein","10","4.7"
"The Big Short: Inside the Doomsday Machine","Michael Lewis","17","4.7"
"The Blood of Olympus (The Heroes of Olympus (5))","Rick Riordan","11","4.8"
"The Blood Sugar Solution: The UltraHealthy Program for Losing Weight, Preventing Disease, and Feeling Great Now!","Mark Hyman M.D.","14","4.2"
